urs,sequence_length,model_source,diagram_sequence_start,diagram_sequence_stop,diagram_bps,diagram_model_start,diagram_model_stop,model_length,model_basepair_count,diagram_overlap_count,label,prediction
URS000083C468,2217,ribovision,4,2216,462,207,2330,4123,1087,36,0,0
URS000083CE54,1963,ribovision,2,1961,414,242,2319,4123,1087,18,0,0
URS000083D15A,2202,ribovision,3,2202,436,206,2355,4123,1087,30,0,0
URS000083F1D0,711,ribovision,6,597,152,24,567,2925,772,3,0,0
URS0000840C51,1462,ribovision,4,1454,374,1465,2923,2925,772,0,1,1
URS000084186F,580,ribovision,10,580,122,456,1027,1559,373,4,0,0
URS000084217E,153,ribovision,5,153,26,2,150,3555,1065,0,0,0
URS000084237D,108,ribovision,2,106,17,13,117,3506,993,0,0,0
URS0000842F33,3081,ribovision,7,3071,882,6,3115,3120,899,17,1,1
URS00008472A4,2660,ribovision,1,2655,682,250,2923,2925,772,3,1,1
URS00008486F9,837,ribovision,90,836,145,613,1250,4123,1087,13,0,0
URS00008488DA,1688,ribovision,2,1676,490,1232,2904,2904,860,1,1,1
URS000084FD2E,731,ribovision,77,516,114,983,1379,2925,772,5,0,0
URS000084FD73,168,ribovision,2,135,41,27,160,3555,1065,0,0,0
URS0000850FDF,2900,ribovision,2,2895,764,4,2923,2925,772,3,1,1
URS0000857322,125,rfam,12,125,21,12,130,130,24,0,1,0
URS000085889C,2898,ribovision,3,2898,880,5,2909,2922,891,12,1,1
URS0000858DB1,2758,ribovision,2,2758,799,146,2904,2904,860,1,1,1
URS0000859A05,1558,ribovision,12,1528,354,19,1533,1559,373,5,1,1
URS0000859A2F,833,ribovision,338,832,156,731,1250,4123,1087,23,0,0
URS000085B94F,1442,ribovision,6,1442,314,4,1401,1559,373,6,1,1
URS000085DD23,2789,ribovision,2,2789,754,201,3044,3551,1009,8,1,1
URS00008604EB,2756,ribovision,1,2756,799,147,2904,2904,860,1,1,1
URS00008623F0,2765,ribovision,2,2765,798,144,2904,2904,860,1,1,1
URS00008630A7,2900,ribovision,2,2900,858,4,2904,2904,860,1,1,1
URS0000865759,1436,ribovision,57,1435,293,13,1355,1559,373,6,1,1
URS0000868511,5029,ribovision,1,5029,1464,158,5227,5227,1553,29,1,1
URS0000888E33,1391,ribovision,1,1390,453,17,1406,1542,507,0,1,1
URS00008892AE,1921,crw,5,1115,377,3,1136,1990,378,10,1,1
URS000089BC73,1367,ribovision,2,1344,441,34,1457,1542,507,0,1,1
URS00008A3F5A,1419,ribovision,1,1418,448,35,1460,1542,507,0,1,1
URS00008C4556,2332,ribovision,2,2331,586,10,2374,2921,776,8,1,1
URS00008C4BE2,1237,ribovision,1,1236,310,3800,5046,5227,1553,2,0,1
URS00008C4CFB,1738,ribovision,2,1715,488,4,1716,2904,860,0,1,1
URS00008C4D15,2850,ribovision,3,2850,843,13,2889,2911,868,4,1,1
URS00008C4EA3,3417,ribovision,33,3345,868,150,3329,3506,993,30,1,1
URS00008C4FE6,2158,ribovision,1,1782,440,1394,3041,3048,847,15,0,1
URS00008C5273,2581,ribovision,844,2581,539,1811,3551,3551,1009,10,0,1
URS00008C5B77,1625,ribovision,1,1619,468,1508,3132,3137,912,0,1,1
URS00008C5FBE,3054,ribovision,1,3044,878,11,3112,3120,899,11,1,1
URS00008C6080,918,ribovision,1,917,296,8,924,1542,507,2,1,1
URS00008C645B,2501,ribovision,3,2494,544,501,3007,4123,1087,26,0,1
URS00008C7371,3119,ribovision,4,3108,889,6,3128,3137,912,14,1,1
URS00008C7BEF,2602,ribovision,1,2602,738,825,3448,3506,993,9,1,1
URS00008C7DA0,3086,ribovision,1,3084,870,461,3549,3551,1009,17,1,1
URS00008C7ED8,1454,ribovision,2,1446,436,1466,2915,2922,891,1,1,1
URS00008C7F14,2907,ribovision,1312,2901,734,1247,2917,2921,776,12,1,1
URS00008C8025,1511,ribovision,8,1508,427,1640,3135,3137,912,0,1,1
URS00008C8345,2531,ribovision,5,2524,634,336,2820,2925,772,2,1,1
URS00008C84DC,2967,ribovision,2,2963,842,117,3134,3137,912,21,1,1
URS00008C850C,3008,ribovision,1,3005,851,11,3020,3120,899,13,1,1
URS00008C8604,2814,ribovision,2,2809,854,12,2832,2922,891,12,1,1
URS00008C8D13,2908,ribovision,3,2902,884,3,2919,2922,891,12,1,1
URS00008C8D9D,2920,ribovision,2,2917,776,4,2920,2921,776,4,1,1
URS00008C8E0B,1960,ribovision,69,1956,402,391,2309,2921,776,6,0,1
URS00008C8F6B,2815,ribovision,4,2813,850,14,2835,2922,891,12,1,1
URS00008C95A2,2616,ribovision,1,2615,760,256,2901,2904,860,2,1,1
URS00008C9640,2507,ribovision,2,1572,703,1876,3499,5227,1553,1,1,0
URS00008C9662,3865,ribovision,23,3856,1055,967,4997,5227,1553,14,1,1
URS00008C9899,2335,ribovision,1,2335,701,570,2904,2904,860,1,1,1
URS00008C9943,2486,ribovision,2,2485,710,4,2478,2904,860,1,1,1
URS00008C9D33,2959,ribovision,14,2951,814,15,3039,3048,847,16,1,1
URS00008C9D82,2901,ribovision,1,2901,852,11,2889,2911,868,8,1,1
URS00008CA187,2801,ribovision,92,2695,785,764,3327,3554,1065,19,1,1
URS00008CA1A2,1444,ribovision,20,1442,345,712,2157,2925,772,7,1,1
URS00008CA83D,2881,ribovision,1,2881,852,14,2889,2911,868,4,1,1
URS00008CA844,1425,ribovision,1,1422,349,716,2209,2925,772,0,1,1
URS00008CA880,2804,ribovision,2,2795,841,106,2915,2922,891,12,1,1
URS00008CA984,2844,ribovision,1556,2839,786,1563,2899,2904,860,5,1,1
URS00008CAA7E,1639,ribovision,27,1638,468,650,2328,3137,912,3,1,1
URS00008CAB8C,2916,ribovision,2,2912,767,4,2924,2925,772,3,1,1
URS00008CAB91,1370,ribovision,5,1369,331,1396,2873,2925,772,0,1,1
URS00008CACF3,947,ribovision,1,946,244,915,1860,1869,470,0,1,1
URS00008CAF15,2707,ribovision,3,2703,754,2,2706,3120,899,18,1,1
URS00008CAFBB,2092,ribovision,1,2091,552,1415,3499,3551,1009,9,1,1
URS00008CB480,1393,ribovision,26,1392,322,3670,5046,5227,1553,2,0,0
URS00008CBB0A,2591,ribovision,64,2591,738,379,2904,2904,860,1,1,1
URS00008CBB54,3080,ribovision,6,3073,887,8,3131,3137,912,12,1,1
URS00008CBC0D,2890,ribovision,3,2890,849,13,2889,2911,868,4,1,1
URS00008CBCA3,2326,ribovision,86,2214,617,955,3306,3551,1009,16,1,1
URS00008CBDBA,2613,ribovision,1,2612,729,878,3486,3551,1009,11,1,1
URS00008CBE9F,3035,ribovision,3,3024,871,10,3112,3120,899,11,1,1
URS00008CC1E1,2586,ribovision,4,2576,645,180,2821,2921,776,4,1,1
URS00008CC607,1454,ribovision,4,1440,367,1463,2915,2925,772,1,1,1
URS00008CC9C6,1451,ribovision,5,1447,371,1465,2924,2925,772,1,1,1
URS00008CCA00,1495,ribovision,4,1488,428,1635,3117,3120,899,0,1,1
URS00008CCCCD,2011,ribovision,106,1915,404,159,2090,2904,860,9,0,1
URS00008CCE5E,1517,ribovision,41,1513,423,1657,3133,3137,912,0,0,1
URS00008CCF5A,1509,ribovision,9,1497,422,1593,3112,3120,899,0,1,1
URS00008CD034,1414,ribovision,1,1413,317,1109,2593,2925,772,0,1,1
URS00008CD113,2760,ribovision,2,2758,815,15,2777,2911,868,4,1,1
URS00008CD249,2913,ribovision,3,2905,888,3,2916,2922,891,12,1,1
URS00008CD373,1460,ribovision,1,1458,374,1457,2924,2925,772,0,1,1
URS00008CD59F,2336,ribovision,785,2333,436,1372,2920,2921,776,0,0,1
URS00008CDBDB,1890,ribovision,2,1889,543,904,2802,3137,912,1,1,1
URS00008CDC3C,2612,ribovision,1,2612,740,457,3056,3120,899,2,1,1
URS00008CDCB6,3356,ribovision,1,3347,909,185,3499,3506,993,47,1,1
URS00008CDCE1,1258,ribovision,1,1257,321,605,1860,1869,470,0,1,1
URS00008CE072,3714,ribovision,1456,3713,936,1606,3860,4123,1087,24,1,1
URS00008CE730,1995,ribovision,183,1994,569,717,2538,3555,1065,8,1,1
URS00008CE839,2690,ribovision,1,2690,783,188,2889,2911,868,4,1,1
URS00008CEB17,1214,ribovision,1,1171,318,2098,3254,3551,1009,7,1,1
URS00008CF05E,2936,ribovision,3,2931,765,5,2918,2921,776,4,1,1
URS00008CF2E7,1175,ribovision,9,976,261,2343,3310,3551,1009,3,0,0
URS00008CF4E1,3012,ribovision,2,2997,862,12,3012,3120,899,13,1,1
URS00008CF5DD,1893,ribovision,1,1040,498,1084,2127,3506,993,0,1,1
URS00008CF5FB,2188,ribovision,95,1824,453,160,1945,4123,1087,15,0,0
URS00008CF726,1394,ribovision,1,1376,360,1345,2818,2925,772,0,1,1
URS00008CF8FE,2584,ribovision,44,2478,692,337,2896,3048,847,11,1,1
URS00008CFDB3,1461,ribovision,2,1461,362,1075,2536,2925,772,2,1,1
URS00008CFFB0,2633,ribovision,13,2632,794,207,2836,2922,891,12,1,1
URS00008D00BD,1459,ribovision,138,1445,339,1599,2911,2925,772,0,1,1
URS00008D00F6,2908,ribovision,2,2908,845,15,2889,2911,868,8,1,1
URS00008D046E,1083,ribovision,1,914,237,2434,3344,3551,1009,3,0,0
URS00008D0611,2815,ribovision,2,2803,717,12,2915,2925,772,3,1,1
URS00008D06AC,2871,ribovision,4,2855,784,14,3032,3048,847,14,1,1
URS00008D0753,1841,ribovision,1,1841,518,1264,3087,3137,912,0,1,1
URS00008D0E0B,2973,ribovision,14,2969,813,20,3036,3048,847,12,1,1
URS00008D12BE,2603,ribovision,1,2600,773,307,2922,2922,891,7,1,1
URS00008D1451,1405,ribovision,92,1397,358,1607,2920,2925,772,0,1,1
URS00008D14B4,1241,ribovision,2,1240,311,3795,5046,5227,1553,2,1,1
URS00008D1953,2879,ribovision,2,2877,854,4,2889,2911,868,4,1,1
URS00008D1A98,2148,ribovision,63,2084,507,794,2696,3554,1065,21,0,0
URS00008D1C9C,1677,ribovision,1,1672,431,1265,2923,2925,772,0,1,1
URS00008D1DFF,2673,ribovision,2,2668,760,406,3132,3137,912,1,1,1
URS00008D1FAE,2894,ribovision,2,2880,876,9,2909,2922,891,12,1,1
URS00008D20CE,3240,ribovision,2,3240,934,1634,4922,5227,1553,4,1,1
URS00008D23B7,2880,ribovision,2,2878,848,4,2902,2904,860,3,1,1
URS00008DA886,2810,ribovision,3,2809,731,11,2870,2921,776,4,1,1
URS00008E246D,649,ribovision,247,406,66,2,158,3551,1009,4,0,0
URS00008E6EA0,2968,ribovision,10,2877,847,3,2902,2904,860,13,1,1
URS00008E72F2,978,ribovision,428,976,209,781,1373,1559,373,1,1,0
URS00008E9B4C,1858,ribovision,2,1858,483,179,2041,3506,993,24,1,1
URS00008F09FC,3010,ribovision,1396,2998,860,1304,2904,2904,860,8,1,1
URS00008F0EAC,752,ribovision,269,752,188,1318,1782,5227,1553,8,0,0
URS000090136D,53,rfam,9,53,5,7,50,104,5,0,1,1
URS0000907176,336,ribovision,94,180,46,176,261,3048,847,3,0,0
URS000092B92B,5067,ribovision,1,5067,1495,160,5226,5227,1553,21,1,1
URS000092C0FD,2895,ribovision,1,2893,802,1,2889,2911,868,4,1,1
URS0000931B54,4466,ribovision,1,4465,1325,182,4639,5227,1553,13,1,1
URS0000953A49,1457,ribovision,24,1455,379,594,2045,2925,772,1,1,1
URS000095D50B,4546,ribovision,1029,1954,1126,1326,2273,5227,1553,28,1,0
URS000095DDA2,135,rfam,2,133,24,2,134,136,24,0,1,0
URS0000967D79,3866,ribovision,1753,3866,988,2012,4123,4123,1087,26,1,1
URS000098118B,294,rfam,1,292,112,1,299,301,120,4,1,1
URS000098B79F,884,ribovision,3,563,207,2865,3424,4123,1087,2,0,0
URS000099D730,407,ribovision,56,382,85,247,574,5227,1553,3,0,0
URS00009A018C,104,crw,10,102,13,378,475,1486,364,0,0,0
URS00009A22A8,2050,ribovision,1256,1705,407,1479,1921,4123,1087,180,0,0
URS00009A4A28,967,crw,7,961,152,1,956,956,152,1,1,1
URS00009B37F1,1778,rfam,1687,1642,1,2,47,70,24,2,0,1
URS00009BC2CA,272,rfam,178,268,4,1,84,95,34,4,0,0
URS00009CA420,155,ribovision,6,155,21,6,151,4123,1087,0,0,0
URS00009CAB9F,2893,ribovision,6,2886,754,5,2916,2921,776,4,1,1
URS00009CC84C,2649,ribovision,4,2644,677,283,2923,2925,772,1,1,1
URS00009CDB7A,1586,ribovision,22,1585,371,18,1558,1559,373,4,1,1
URS00009CF199,1852,ribovision,1,1852,477,178,2041,3506,993,35,1,1
URS00009D1559,3133,ribovision,8,3123,899,2,3119,3120,899,19,1,1
URS00009D2C72,1779,ribovision,2,1777,454,162,1951,3554,1065,21,0,1
URS00009D3105,2149,ribovision,2,2148,448,242,2330,4123,1087,45,0,0
URS00009D3BB9,1786,ribovision,2,1786,460,248,2028,3506,993,22,1,1
URS00009D7056,1780,ribovision,2,1780,450,198,2024,3506,993,35,1,1
URS00009D88EB,1255,ribovision,480,1232,289,699,1511,1559,373,6,1,1
URS00009DB2A5,102,ribovision,1,84,17,2821,2904,2904,860,0,0,0
URS00009DE843,418,ribovision,3,418,114,360,797,1542,507,0,0,0
URS00009DFBD8,115,crw,5,113,25,7,116,118,26,0,1,0
URS00009E28A7,476,ribovision,148,314,36,2,170,3555,1065,0,0,0
URS00009EA8F6,1453,ribovision,47,1446,298,446,1888,2925,772,0,1,1
URS00009EEF80,819,ribovision,291,818,175,1289,1804,5227,1553,11,0,0
URS00009F0112,2837,ribovision,1239,2836,820,1196,2791,2904,860,5,1,1
URS00009F3174,2817,ribovision,3,2815,723,10,2916,2921,776,4,1,1
URS00009F8C77,155,ribovision,1,155,21,1,155,3551,1009,0,0,0
URS00009F8E6D,787,ribovision,322,787,204,1324,1807,5227,1553,6,0,0
URS00009F9E0C,414,ribovision,1,414,127,472,885,1495,492,0,1,0
URS00009FFCA0,2935,ribovision,10,2918,860,1,2904,2904,860,3,1,1
URS0000A00D94,778,ribovision,407,777,172,1433,1804,5227,1553,11,0,0
URS0000A02A7D,2632,ribovision,64,2630,759,317,2902,2904,860,1,1,1
URS0000A079D6,155,ribovision,4,151,24,4,148,3506,993,0,0,0
URS0000A08AC4,777,ribovision,331,777,207,1344,1797,5227,1553,8,0,0
URS0000A09806,6431,rfam,2982,3052,4,2,91,93,19,0,0,0
URS0000A0D916,3202,ribovision,10,3190,854,1,2904,2904,860,9,1,1
URS0000A0E051,1870,ribovision,1,1870,486,178,2041,3506,993,31,1,1
URS0000A0E368,2885,ribovision,4,2881,756,6,2924,2925,772,3,1,1
URS0000A0FB28,2917,ribovision,9,2898,855,2,2902,2904,860,5,1,1
URS0000A10701,2994,ribovision,4,2951,824,15,2997,3048,847,16,1,1
URS0000A11A87,756,ribovision,388,536,18,6,157,5227,1553,1,0,0
URS0000A12C68,128,ribovision,2,120,32,43,161,3555,1065,0,0,0
URS0000A13EEE,2877,ribovision,10,2876,838,1,2869,2904,860,2,1,1
URS0000A1B50A,521,ribovision,1,520,151,801,1323,1542,507,0,0,0
URS0000A1B555,1570,ribovision,5,1569,365,3,1558,1559,373,4,1,1
URS0000A1BB66,129,ribovision,37,129,30,136,227,3555,1065,0,0,0
URS0000A1EF03,1820,ribovision,1,1819,478,178,2041,3506,993,19,1,1
URS0000A2136E,1820,ribovision,2,1820,465,198,2024,3506,993,33,1,1
URS0000A231D3,594,ribovision,227,403,39,3,173,4123,1087,0,0,0
URS0000A23AA9,99,ribovision,2,85,16,2836,2919,2921,776,0,0,0
URS0000A27287,1559,ribovision,2,1559,373,1,1559,1559,373,4,1,1
URS0000A2877F,1498,ribovision,9,1436,405,1636,3062,3120,899,0,1,1
URS0000A2FD7A,2937,ribovision,12,2911,761,6,2920,2921,776,8,1,1
URS0000A30359,769,ribovision,374,769,148,1377,1786,5227,1553,10,0,0
URS0000A30AAA,2889,ribovision,3,2887,878,17,2912,2922,891,12,1,1
URS0000A30E45,2077,ribovision,3,2077,587,239,2309,3555,1065,18,1,1
URS0000A3A07B,126,ribovision,1,108,26,2797,2904,2904,860,0,0,0
URS0000A3A6FD,789,ribovision,359,789,180,1358,1807,5227,1553,10,0,0
URS0000A3E145,621,ribovision,70,598,133,160,718,3555,1065,9,0,0
URS0000A3EAC1,1558,ribovision,1,1558,373,1,1559,1559,373,4,1,1
URS0000A3FF9D,1761,ribovision,2,1760,445,246,2030,3506,993,24,1,1
URS0000A4332F,155,ribovision,2,154,26,5,157,3555,1065,0,0,0
URS0000A43BFC,2919,ribovision,11,2917,755,5,2920,2921,776,8,1,1
URS0000A43D34,787,ribovision,331,787,179,1343,1806,5227,1553,8,0,0
URS0000A448BA,1802,ribovision,2,1802,469,230,2042,3506,993,28,1,1
URS0000A464FE,149,ribovision,1,129,32,2776,2904,2904,860,0,0,0
URS0000A48EA4,3112,ribovision,8,3093,890,6,3118,3120,899,13,1,1
URS0000A49D31,721,ribovision,73,712,155,129,755,3555,1065,10,0,0
URS0000A4C9C5,2762,ribovision,4,2757,708,153,2923,2925,772,3,1,1
URS0000A5039C,712,ribovision,418,264,80,2,157,3554,1065,0,0,0
URS0000A51BD4,680,ribovision,73,665,167,160,756,3555,1065,9,0,0
URS0000A5512E,1579,ribovision,2,1578,373,2,1558,1559,373,4,1,1
URS0000A5546F,1816,ribovision,2,1816,469,224,2042,3506,993,32,1,1
URS0000A559A7,2776,ribovision,9,2769,723,10,2917,2921,776,2,1,1
URS0000A5750A,2186,ribovision,5,2186,580,2,2181,3120,899,18,1,1
URS0000A5857B,1792,ribovision,2,1792,463,248,2028,3506,993,20,1,1
URS0000A5A161,157,ribovision,2,148,34,12,158,3555,1065,0,0,0
URS0000A5F5EC,514,ribovision,6,512,114,873,1415,1559,373,1,0,0
URS0000A6042A,253,ribovision,3,252,69,536,785,1542,507,0,1,0
URS0000A6042F,2889,ribovision,3,2888,853,5,2901,2904,860,3,1,1
URS0000A622F3,119,ribovision,2,107,26,2799,2904,2904,860,0,0,0
URS0000A63C5D,2905,ribovision,1,2899,759,1,2923,2925,772,3,1,1
URS0000A640A3,1684,ribovision,45,1625,341,25,1508,1559,373,8,1,1
URS0000A6477D,1456,ribovision,2,1452,372,1458,2924,2925,772,1,1,1
URS0000A65137,781,ribovision,361,780,191,1341,1773,5227,1553,13,0,0
URS0000A65774,2879,ribovision,9,2873,764,10,2917,2921,776,4,1,1
URS0000A6ADDB,167,ribovision,1,100,22,68,169,3554,1065,0,0,0
URS0000A6FD7D,1052,ribovision,343,1049,253,724,1469,1559,373,1,1,1
URS0000A70598,1600,ribovision,10,1596,355,8,1555,1559,373,4,1,1
URS0000A7411E,2859,ribovision,2,2857,848,2,2902,2904,860,1,1,1
URS0000A74B5B,1560,ribovision,4,1559,373,2,1558,1559,373,4,1,1
URS0000A78149,1778,rfam,1137,1357,7,115,304,626,83,0,0,0
URS0000A797BB,110,rfam,12,97,17,2,88,89,17,0,1,0
URS0000A8DDDB,317,rfam,21,282,79,3,279,330,87,2,1,1
URS0000A90B84,107,rfam,10,107,5,7,104,104,5,0,1,0
URS0000A91E76,115,crw,7,113,31,11,117,120,35,0,1,0
URS0000A91EF0,130,crw,2,72,11,2,88,120,35,0,0,0
URS0000A99E20,102,rfam,3,101,23,3,97,98,23,0,1,0
URS0000A9FE52,228,rfam,7,195,54,7,198,330,87,0,1,1
URS0000AB1D9E,2465,ribovision,2,2460,728,646,3119,3120,899,5,1,1
URS0000AB3C33,154,rfam,8,137,31,8,153,171,38,0,1,1
URS0000AB4287,2922,ribovision,1673,2799,797,1669,2801,2922,891,12,1,1
URS0000AB4B37,178,rfam,4,176,47,4,181,183,53,0,1,1
URS0000AB5E45,3360,ribovision,2,3341,986,163,3538,3554,1065,25,1,1
URS0000AB671F,367,rfam,1,366,107,1,388,389,107,2,1,1
URS0000ABA08D,2922,ribovision,7,2914,890,3,2916,2922,891,12,1,1
URS0000ABBA3C,2917,ribovision,7,2911,801,3,2919,2922,891,12,1,1
URS0000ABC598,198,rfam,16,186,42,16,179,190,43,2,1,1
URS0000ABD7E7,2099,ribovision,1,1887,463,1,1869,1869,470,0,1,1
URS0000ABD7EF,5066,ribovision,1,5066,1495,158,5227,5227,1553,21,1,1
URS0000ABE331,2899,ribovision,2,2898,883,7,2916,2922,891,12,1,1
URS0000ABEDD8,672,ribovision,10,590,166,233,814,3555,1065,11,0,0
URS0000AC00EE,3119,ribovision,8,3113,881,5,3132,3137,912,14,1,1
URS0000AC0A0C,998,ribovision,248,997,248,1298,2100,5227,1553,10,0,0
URS0000AC1A07,2900,ribovision,8,2887,853,1,2902,2904,860,3,1,1
URS0000AC27BC,2853,ribovision,4,2849,757,3,2919,2921,776,0,1,1
URS0000AC30A6,3912,ribovision,2,3276,908,272,3550,3551,1009,19,1,1
URS0000AC6E41,222,ribovision,2,219,48,2486,2702,2925,772,0,0,0
URS0000AC9898,3132,ribovision,8,3125,892,2,3118,3120,899,13,1,1
URS0000ACB867,1491,ribovision,6,1490,385,13,1530,3048,847,9,1,1
URS0000ACCD74,2867,ribovision,6,2861,748,4,2923,2925,772,0,1,1
URS0000AD05DA,95,crw,2,93,16,23,117,119,29,0,0,0
URS0000AD07E5,687,ribovision,8,586,162,232,812,3555,1065,11,0,0
URS0000AD089E,691,ribovision,13,586,162,236,811,3555,1065,9,0,0
URS0000AD146F,1577,ribovision,2,1575,371,2,1558,1559,373,8,1,1
URS0000AD2F12,152,ribovision,5,152,24,6,149,3506,993,0,0,0
URS0000AD4655,2786,ribovision,2,2784,743,80,2861,3048,847,12,1,1
URS0000AD59F5,229,ribovision,1,130,44,38,163,3506,993,1,0,0
URS0000AD762A,3039,ribovision,2,3038,873,162,3192,3554,1065,21,1,1
URS0000AD83F0,1751,ribovision,2,1745,518,1372,3132,3137,912,0,1,1
URS0000ADB3A7,2982,ribovision,964,2951,809,1114,3115,3120,899,25,1,1
URS0000AE06C8,821,ribovision,83,820,188,128,856,3555,1065,11,0,0
URS0000AE06F5,3131,ribovision,8,3118,899,2,3119,3120,899,19,1,1
URS0000AE0DBE,1684,ribovision,4,1681,443,227,2031,3506,993,23,1,1
URS0000AE2049,711,ribovision,94,694,155,157,758,3555,1065,9,0,0
URS0000AE6156,873,ribovision,104,872,188,159,915,3555,1065,11,0,0
URS0000AE771E,411,ribovision,222,411,87,1219,1410,1559,373,1,0,0
URS0000AE94F9,218,ribovision,2,159,24,52,193,3506,993,0,0,0
URS0000AE98B6,860,ribovision,274,859,185,1324,1930,2921,776,0,0,0
URS0000AEAC76,684,ribovision,12,590,162,235,814,3555,1065,11,0,0
URS0000AEB9AC,690,ribovision,10,587,162,234,813,3555,1065,9,0,0
URS0000AECF66,530,ribovision,528,2,82,835,1399,1559,373,2,0,0
URS0000AEF02C,143,ribovision,4,121,32,2785,2902,2904,860,0,0,0
URS0000AF127F,2574,ribovision,1,2571,658,350,2920,2921,776,0,1,1
URS0000AF16DF,115,ribovision,3,103,26,2804,2904,2904,860,0,0,0
URS0000AF1FDD,656,ribovision,7,588,161,232,815,3555,1065,11,0,0
URS0000AF6B86,2783,ribovision,2,2783,761,19,2866,3048,847,12,1,1
URS0000AF9263,639,ribovision,256,417,33,1,161,3551,1009,2,0,0
URS0000AF9466,2711,ribovision,54,2707,727,354,3035,3048,847,7,1,1
URS0000AF95E6,232,rfam,1,232,46,48,279,297,68,3,1,1
URS0000AF978D,942,ribovision,174,942,208,158,931,3555,1065,11,0,0
URS0000AF9A33,88,ribovision,2,75,17,2830,2903,2904,860,0,0,0
URS0000AFA2FF,94,rfam,15,94,15,28,105,167,42,2,0,0
URS0000AFA3E7,3111,ribovision,9,3106,885,3,3118,3120,899,13,1,1
URS0000AFB8E4,1418,ribovision,4,1412,350,1401,2920,2925,772,0,1,1
URS0000AFBDBD,1400,ribovision,3,1397,422,60,1439,1542,507,0,1,1
URS0000AFD350,729,ribovision,155,728,162,1282,1838,5227,1553,6,0,0
URS0000AFDB74,1369,ribovision,2,1136,354,1354,2501,2925,772,1,1,1
URS0000AFE1B8,977,ribovision,417,976,245,1417,2005,5227,1553,19,0,0
URS0000AFFCE4,1446,ribovision,5,1444,347,663,2188,2925,772,0,1,1
URS0000B0267E,87,rfam,1,87,12,15,102,167,42,0,0,0
URS0000B02C1A,289,ribovision,1,287,54,785,1075,1542,507,0,0,0
URS0000B04967,697,ribovision,83,688,176,155,787,3555,1065,9,0,0
URS0000B05C6F,1681,ribovision,13,1677,340,7,1555,1559,373,5,1,1
URS0000B0794D,1683,ribovision,3,1682,444,228,2034,3506,993,21,1,1
URS0000B07D0D,671,ribovision,20,591,167,243,815,3555,1065,17,0,0
URS0000B07FF5,1682,ribovision,5,1682,441,233,2035,3506,993,21,1,1
URS0000B09E00,663,ribovision,16,589,164,239,815,3555,1065,13,0,0
URS0000B0CB27,675,ribovision,8,587,163,232,813,3555,1065,11,0,0
URS0000B0CDFB,164,ribovision,4,161,21,2,158,3551,1009,0,0,0
URS0000B0DF93,2913,ribovision,10,2892,823,3,2901,2904,860,3,1,1
URS0000B0FF90,2878,ribovision,10,2857,821,3,2901,2904,860,3,1,1
URS0000B1301E,776,ribovision,76,775,186,158,856,3555,1065,11,0,0
URS0000B16107,162,ribovision,3,143,32,2763,2903,2904,860,0,0,0
URS0000B16B77,667,ribovision,9,589,162,232,814,3555,1065,9,0,0
URS0000B16CD5,663,ribovision,13,590,162,236,815,3555,1065,11,0,0
URS0000B177A4,704,ribovision,3,564,149,85,614,3555,1065,10,0,0
URS0000B17B54,1903,ribovision,10,1903,524,1,1891,2904,860,0,1,1
URS0000B186E8,792,ribovision,84,791,202,158,865,3555,1065,11,0,0
URS0000B1A30C,372,rfam,81,306,13,1,226,226,36,0,0,0
URS0000B2015A,600,ribovision,27,535,112,446,855,4123,1087,6,0,0
URS0000B213C3,799,ribovision,90,798,195,1143,1804,5227,1553,16,0,0
URS0000B21DCE,3149,ribovision,439,1904,854,652,2118,3554,1065,29,1,1
URS0000B3307B,2869,ribovision,2,2795,786,13,2909,3048,847,16,1,1
URS0000B3443D,2017,ribovision,530,2017,496,815,2309,2921,776,4,1,1
URS0000B36A96,2993,ribovision,15,2980,820,17,3037,3048,847,10,1,1
URS0000B3BBE5,959,ribovision,2,958,210,412,1368,1559,373,4,0,0
URS0000B3D20E,779,ribovision,316,779,192,1280,1782,5227,1553,21,0,0
URS0000B3DB02,969,ribovision,351,958,219,1333,1991,5227,1553,12,0,0
URS0000B3F408,3095,ribovision,13,3088,892,9,3117,3120,899,11,1,1
URS0000B43983,204,ribovision,24,177,31,3,157,5227,1553,0,0,0
URS0000B44A74,2535,ribovision,14,2531,644,402,2924,2925,772,0,1,1
URS0000B48B83,2898,ribovision,2,2893,764,4,2923,2925,772,3,1,1
URS0000B4A07F,3100,ribovision,2,3097,893,5,3134,3137,912,21,1,1
URS0000B4CB73,2926,ribovision,10,2914,860,1,2904,2904,860,2,1,1
URS0000B4D5A5,2777,ribovision,14,2773,712,150,2924,2925,772,3,1,1
URS0000B4DB61,3163,ribovision,8,3158,898,3,3119,3120,899,19,1,1
URS0000B515F4,3002,ribovision,10,2990,860,1,2904,2904,860,6,1,1
URS0000B51639,102,ribovision,2,90,22,2816,2904,2904,860,0,0,0
URS0000B52256,3003,ribovision,2,3003,834,19,3041,3048,847,14,1,1
URS0000B54AC5,310,ribovision,124,309,80,1213,1397,1559,373,0,1,0
URS0000B5694A,2887,ribovision,9,2881,751,10,2917,2921,776,4,1,1
URS0000B59927,760,ribovision,290,759,185,1271,1779,5227,1553,12,0,0
URS0000B5BDB6,727,ribovision,2,450,181,236,694,5227,1553,2,0,0
URS0000B5BE8A,2926,ribovision,2,2920,776,1,2920,2921,776,4,1,1
