########################################
# Program: tcode
# Rundate: Wed 21 Jan 2026 16:40:58
# Commandline: tcode
#    -sequence XIST.fasta
#    -window 200
#    -outfile XIST_tcode.out
#    -plot
#    -graph png
# Report_format: table
# Report_file: XIST_tcode.out
########################################

#=======================================
#
# Sequence: URS000025784F     from: 1   to: 37027
# HitCount: 12276
#
# Fickett TESTCODE statistic
#
#=======================================

  Start     End  Strand   Score Estimation
  21346   21545       +   0.673 Non-coding
  21349   21548       +   0.606 Non-coding
  21352   21551       +   0.673 Non-coding
  21355   21554       +   0.613 Non-coding
  21358   21557       +   0.527 Non-coding
  21361   21560       +   0.558 Non-coding
  21364   21563       +   0.735 Non-coding
  21367   21566       +   0.623 Non-coding
  21370   21569       +   0.748 No opinion
  21373   21572       +   0.748 No opinion
  21376   21575       +   0.742 No opinion
  21379   21578       +   0.690 Non-coding
  21382   21581       +   0.753 No opinion
  21385   21584       +   0.941 No opinion
  21388   21587       +   0.911 No opinion
  21391   21590       +   0.988 Coding    
  21394   21593       +   0.928 No opinion
  21397   21596       +   0.872 No opinion
  21400   21599       +   0.960 Coding    
  21403   21602       +   1.009 Coding    
  21406   21605       +   0.989 Coding    
  21409   21608       +   0.989 Coding    
  21412   21611       +   0.913 No opinion
  21415   21614       +   0.931 No opinion
  21418   21617       +   0.818 No opinion
  21421   21620       +   0.800 No opinion
  21424   21623       +   0.793 No opinion
  21427   21626       +   0.827 No opinion
  21430   21629       +   0.838 No opinion
  21433   21632       +   0.840 No opinion
  21436   21635       +   0.759 No opinion
  21439   21638       +   0.785 No opinion
  21442   21641       +   0.737 Non-coding
  21445   21644       +   0.631 Non-coding
  21448   21647       +   0.609 Non-coding
  21451   21650       +   0.618 Non-coding
  21454   21653       +   0.640 Non-coding
  21457   21656       +   0.783 No opinion
  21460   21659       +   0.676 Non-coding
  21463   21662       +   0.575 Non-coding
  21466   21665       +   0.640 Non-coding
  21469   21668       +   0.671 Non-coding
  21472   21671       +   0.784 No opinion
  21475   21674       +   0.786 No opinion
  21478   21677       +   0.717 Non-coding
  21481   21680       +   0.779 No opinion
  21484   21683       +   0.744 No opinion
  21487   21686       +   0.738 Non-coding
  21490   21689       +   0.584 Non-coding
  21493   21692       +   0.790 No opinion
  21496   21695       +   0.638 Non-coding
  21499   21698       +   0.619 Non-coding
  21502   21701       +   0.582 Non-coding
  21505   21704       +   0.535 Non-coding
  21508   21707       +   0.558 Non-coding
  21511   21710       +   0.540 Non-coding
  21514   21713       +   0.540 Non-coding
  21517   21716       +   0.541 Non-coding
  21520   21719       +   0.605 Non-coding
  21523   21722       +   0.605 Non-coding
  21526   21725       +   0.638 Non-coding
  21529   21728       +   0.614 Non-coding
  21532   21731       +   0.639 Non-coding
  21535   21734       +   0.614 Non-coding
  21538   21737       +   0.688 Non-coding
  21541   21740       +   0.614 Non-coding
  21544   21743       +   0.561 Non-coding
  21547   21746       +   0.706 Non-coding
  21550   21749       +   0.706 Non-coding
  21553   21752       +   0.561 Non-coding
  21556   21755       +   0.659 Non-coding
  21559   21758       +   0.647 Non-coding
  21562   21761       +   0.647 Non-coding
  21565   21764       +   0.575 Non-coding
  21568   21767       +   0.601 Non-coding
  21571   21770       +   0.516 Non-coding
  21574   21773       +   0.508 Non-coding
  21577   21776       +   0.508 Non-coding
  21580   21779       +   0.502 Non-coding
  21583   21782       +   0.613 Non-coding
  21586   21785       +   0.505 Non-coding
  21589   21788       +   0.490 Non-coding
  21592   21791       +   0.490 Non-coding
  21595   21794       +   0.496 Non-coding
  21598   21797       +   0.570 Non-coding
  21601   21800       +   0.558 Non-coding
  21604   21803       +   0.526 Non-coding
  21607   21806       +   0.498 Non-coding
  21610   21809       +   0.611 Non-coding
  21613   21812       +   0.492 Non-coding
  21616   21815       +   0.485 Non-coding
  21619   21818       +   0.489 Non-coding
  21622   21821       +   0.493 Non-coding
  21625   21824       +   0.493 Non-coding
  21628   21827       +   0.503 Non-coding
  21631   21830       +   0.695 Non-coding
  21634   21833       +   0.675 Non-coding
  21637   21836       +   0.680 Non-coding
  21640   21839       +   0.762 No opinion
  21643   21842       +   0.826 No opinion
  21646   21845       +   0.733 Non-coding
  21649   21848       +   0.785 No opinion
  21652   21851       +   0.686 Non-coding
  21655   21854       +   0.812 No opinion
  21658   21857       +   0.688 Non-coding
  21661   21860       +   0.677 Non-coding
  21664   21863       +   0.560 Non-coding
  21667   21866       +   0.619 Non-coding
  21670   21869       +   0.535 Non-coding
  21673   21872       +   0.423 Non-coding
  21676   21875       +   0.386 Non-coding
  21679   21878       +   0.381 Non-coding
  21682   21881       +   0.381 Non-coding
  21685   21884       +   0.381 Non-coding
  21688   21887       +   0.386 Non-coding
  21691   21890       +   0.386 Non-coding
  21694   21893       +   0.382 Non-coding
  21697   21896       +   0.368 Non-coding
  21700   21899       +   0.482 Non-coding
  21703   21902       +   0.368 Non-coding
  21706   21905       +   0.360 Non-coding
  21709   21908       +   0.386 Non-coding
  21712   21911       +   0.374 Non-coding
  21715   21914       +   0.411 Non-coding
  21718   21917       +   0.416 Non-coding
  21721   21920       +   0.416 Non-coding
  21724   21923       +   0.434 Non-coding
  21727   21926       +   0.507 Non-coding
  21730   21929       +   0.529 Non-coding
  21733   21932       +   0.641 Non-coding
  21736   21935       +   0.529 Non-coding
  21739   21938       +   0.529 Non-coding
  21742   21941       +   0.616 Non-coding
  21745   21944       +   0.561 Non-coding
  21748   21947       +   0.612 Non-coding
  21751   21950       +   0.649 Non-coding
  21754   21953       +   0.561 Non-coding
  21757   21956       +   0.553 Non-coding
  21760   21959       +   0.553 Non-coding
  21763   21962       +   0.552 Non-coding
  21766   21965       +   0.561 Non-coding
  21769   21968       +   0.561 Non-coding
  21772   21971       +   0.565 Non-coding
  21775   21974       +   0.565 Non-coding
  21778   21977       +   0.451 Non-coding
  21781   21980       +   0.446 Non-coding
  21784   21983       +   0.618 Non-coding
  21787   21986       +   0.511 Non-coding
  21790   21989       +   0.507 Non-coding
  21793   21992       +   0.446 Non-coding
  21796   21995       +   0.578 Non-coding
  21799   21998       +   0.497 Non-coding
  21802   22001       +   0.468 Non-coding
  21805   22004       +   0.486 Non-coding
  21808   22007       +   0.374 Non-coding
  21811   22010       +   0.546 Non-coding
  21814   22013       +   0.510 Non-coding
  21817   22016       +   0.508 Non-coding
  21820   22019       +   0.438 Non-coding
  21823   22022       +   0.349 Non-coding
  21826   22025       +   0.386 Non-coding
  21829   22028       +   0.370 Non-coding
  21832   22031       +   0.408 Non-coding
  21835   22034       +   0.439 Non-coding
  21838   22037       +   0.433 Non-coding
  21841   22040       +   0.433 Non-coding
  21844   22043       +   0.518 Non-coding
  21847   22046       +   0.380 Non-coding
  21850   22049       +   0.374 Non-coding
  21853   22052       +   0.378 Non-coding
  21856   22055       +   0.472 Non-coding
  21859   22058       +   0.477 Non-coding
  21862   22061       +   0.492 Non-coding
  21865   22064       +   0.506 Non-coding
  21868   22067       +   0.412 Non-coding
  21871   22070       +   0.407 Non-coding
  21874   22073       +   0.447 Non-coding
  21877   22076       +   0.453 Non-coding
  21880   22079       +   0.513 Non-coding
  21883   22082       +   0.453 Non-coding
  21886   22085       +   0.453 Non-coding
  21889   22088       +   0.513 Non-coding
  21892   22091       +   0.453 Non-coding
  21895   22094       +   0.453 Non-coding
  21898   22097       +   0.447 Non-coding
  21901   22100       +   0.447 Non-coding
  21904   22103       +   0.480 Non-coding
  21907   22106       +   0.474 Non-coding
  21910   22109       +   0.474 Non-coding
  21913   22112       +   0.528 Non-coding
  21916   22115       +   0.528 Non-coding
  21919   22118       +   0.572 Non-coding
  21922   22121       +   0.549 Non-coding
  21925   22124       +   0.562 Non-coding
  21928   22127       +   0.568 Non-coding
  21931   22130       +   0.567 Non-coding
  21934   22133       +   0.707 Non-coding
  21937   22136       +   0.680 Non-coding
  21940   22139       +   0.792 No opinion
  21943   22142       +   0.799 No opinion
  21946   22145       +   0.780 No opinion
  21949   22148       +   0.768 No opinion
  21952   22151       +   0.758 No opinion
  21955   22154       +   0.750 No opinion
  21958   22157       +   0.707 Non-coding
  21961   22160       +   0.801 No opinion
  21964   22163       +   0.883 No opinion
  21967   22166       +   0.856 No opinion
  21970   22169       +   0.920 No opinion
  21973   22172       +   0.951 Coding    
  21976   22175       +   0.933 No opinion
  21979   22178       +   0.822 No opinion
  21982   22181       +   0.890 No opinion
  21985   22184       +   0.822 No opinion
  21988   22187       +   0.774 No opinion
  21991   22190       +   0.890 No opinion
  21994   22193       +   0.840 No opinion
  21997   22196       +   0.780 No opinion
  22000   22199       +   0.778 No opinion
  22003   22202       +   0.801 No opinion
  22006   22205       +   0.723 Non-coding
  22009   22208       +   0.861 No opinion
  22012   22211       +   0.774 No opinion
  22015   22214       +   0.831 No opinion
  22018   22217       +   0.797 No opinion
  22021   22220       +   0.831 No opinion
  22024   22223       +   0.737 Non-coding
  22027   22226       +   0.738 Non-coding
  22030   22229       +   0.898 No opinion
  22033   22232       +   0.758 No opinion
  22036   22235       +   0.865 No opinion
  22039   22238       +   0.911 No opinion
  22042   22241       +   0.926 No opinion
  22045   22244       +   0.869 No opinion
  22048   22247       +   0.710 Non-coding
  22051   22250       +   0.759 No opinion
  22054   22253       +   0.828 No opinion
  22057   22256       +   0.763 No opinion
  22060   22259       +   0.840 No opinion
  22063   22262       +   0.719 Non-coding
  22066   22265       +   0.671 Non-coding
  22069   22268       +   0.769 No opinion
  22072   22271       +   0.657 Non-coding
  22075   22274       +   0.594 Non-coding
  22078   22277       +   0.628 Non-coding
  22081   22280       +   0.636 Non-coding
  22084   22283       +   0.813 No opinion
  22087   22286       +   0.694 Non-coding
  22090   22289       +   0.565 Non-coding
  22093   22292       +   0.593 Non-coding
  22096   22295       +   0.674 Non-coding
  22099   22298       +   0.679 Non-coding
  22102   22301       +   0.616 Non-coding
  22105   22304       +   0.642 Non-coding
  22108   22307       +   0.679 Non-coding
  22111   22310       +   0.624 Non-coding
  22114   22313       +   0.688 Non-coding
  22117   22316       +   0.608 Non-coding
  22120   22319       +   0.721 Non-coding
  22123   22322       +   0.721 Non-coding
  22126   22325       +   0.580 Non-coding
  22129   22328       +   0.544 Non-coding
  22132   22331       +   0.544 Non-coding
  22135   22334       +   0.483 Non-coding
  22138   22337       +   0.515 Non-coding
  22141   22340       +   0.506 Non-coding
  22144   22343       +   0.530 Non-coding
  22147   22346       +   0.558 Non-coding
  22150   22349       +   0.670 Non-coding
  22153   22352       +   0.670 Non-coding
  22156   22355       +   0.609 Non-coding
  22159   22358       +   0.530 Non-coding
  22162   22361       +   0.530 Non-coding
  22165   22364       +   0.493 Non-coding
  22168   22367       +   0.522 Non-coding
  22171   22370       +   0.530 Non-coding
  22174   22373       +   0.559 Non-coding
  22177   22376       +   0.554 Non-coding
  22180   22379       +   0.575 Non-coding
  22183   22382       +   0.459 Non-coding
  22186   22385       +   0.425 Non-coding
  22189   22388       +   0.488 Non-coding
  22192   22391       +   0.433 Non-coding
  22195   22394       +   0.469 Non-coding
  22198   22397       +   0.469 Non-coding
  22201   22400       +   0.444 Non-coding
  22204   22403       +   0.449 Non-coding
  22207   22406       +   0.419 Non-coding
  22210   22409       +   0.442 Non-coding
  22213   22412       +   0.474 Non-coding
  22216   22415       +   0.494 Non-coding
  22219   22418       +   0.542 Non-coding
  22222   22421       +   0.505 Non-coding
  22225   22424       +   0.484 Non-coding
  22228   22427       +   0.517 Non-coding
  22231   22430       +   0.559 Non-coding
  22234   22433       +   0.532 Non-coding
  22237   22436       +   0.529 Non-coding
  22240   22439       +   0.520 Non-coding
  22243   22442       +   0.628 Non-coding
  22246   22445       +   0.546 Non-coding
  22249   22448       +   0.521 Non-coding
  22252   22451       +   0.508 Non-coding
  22255   22454       +   0.521 Non-coding
  22258   22457       +   0.541 Non-coding
  22261   22460       +   0.529 Non-coding
  22264   22463       +   0.509 Non-coding
  22267   22466       +   0.562 Non-coding
  22270   22469       +   0.529 Non-coding
  22273   22472       +   0.654 Non-coding
  22276   22475       +   0.595 Non-coding
  22279   22478       +   0.686 Non-coding
  22282   22481       +   0.578 Non-coding
  22285   22484       +   0.534 Non-coding
  22288   22487       +   0.468 Non-coding
  22291   22490       +   0.412 Non-coding
  22294   22493       +   0.453 Non-coding
  22297   22496       +   0.453 Non-coding
  22300   22499       +   0.439 Non-coding
  22303   22502       +   0.476 Non-coding
  22306   22505       +   0.488 Non-coding
  22309   22508       +   0.415 Non-coding
  22312   22511       +   0.437 Non-coding
  22315   22514       +   0.442 Non-coding
  22318   22517       +   0.419 Non-coding
  22321   22520       +   0.414 Non-coding
  22324   22523       +   0.408 Non-coding
  22327   22526       +   0.434 Non-coding
  22330   22529       +   0.531 Non-coding
  22333   22532       +   0.413 Non-coding
  22336   22535       +   0.424 Non-coding
  22339   22538       +   0.373 Non-coding
  22342   22541       +   0.414 Non-coding
  22345   22544       +   0.378 Non-coding
  22348   22547       +   0.383 Non-coding
  22351   22550       +   0.382 Non-coding
  22354   22553       +   0.345 Non-coding
  22357   22556       +   0.382 Non-coding
  22360   22559       +   0.382 Non-coding
  22363   22562       +   0.368 Non-coding
  22366   22565       +   0.359 Non-coding
  22369   22568       +   0.382 Non-coding
  22372   22571       +   0.494 Non-coding
  22375   22574       +   0.499 Non-coding
  22378   22577       +   0.466 Non-coding
  22381   22580       +   0.499 Non-coding
  22384   22583       +   0.498 Non-coding
  22387   22586       +   0.589 Non-coding
  22390   22589       +   0.737 Non-coding
  22393   22592       +   0.760 No opinion
  22396   22595       +   0.676 Non-coding
  22399   22598       +   0.576 Non-coding
  22402   22601       +   0.688 Non-coding
  22405   22604       +   0.688 Non-coding
  22408   22607       +   0.676 Non-coding
  22411   22610       +   0.576 Non-coding
  22414   22613       +   0.576 Non-coding
  22417   22616       +   0.469 Non-coding
  22420   22619       +   0.573 Non-coding
  22423   22622       +   0.623 Non-coding
  22426   22625       +   0.641 Non-coding
  22429   22628       +   0.646 Non-coding
  22432   22631       +   0.605 Non-coding
  22435   22634       +   0.780 No opinion
  22438   22637       +   0.770 No opinion
  22441   22640       +   0.770 No opinion
  22444   22643       +   0.851 No opinion
  22447   22646       +   0.813 No opinion
  22450   22649       +   0.798 No opinion
  22453   22652       +   0.804 No opinion
  22456   22655       +   0.813 No opinion
  22459   22658       +   0.780 No opinion
  22462   22661       +   0.831 No opinion
  22465   22664       +   0.819 No opinion
  22468   22667       +   0.756 No opinion
  22471   22670       +   0.786 No opinion
  22474   22673       +   0.835 No opinion
  22477   22676       +   0.856 No opinion
  22480   22679       +   0.889 No opinion
  22483   22682       +   0.909 No opinion
  22486   22685       +   0.808 No opinion
  22489   22688       +   0.782 No opinion
  22492   22691       +   0.717 Non-coding
  22495   22694       +   0.721 Non-coding
  22498   22697       +   0.727 Non-coding
  22501   22700       +   0.628 Non-coding
  22504   22703       +   0.554 Non-coding
  22507   22706       +   0.671 Non-coding
  22510   22709       +   0.669 Non-coding
  22513   22712       +   0.545 Non-coding
  22516   22715       +   0.548 Non-coding
  22519   22718       +   0.534 Non-coding
  22522   22721       +   0.542 Non-coding
  22525   22724       +   0.569 Non-coding
  22528   22727       +   0.573 Non-coding
  22531   22730       +   0.569 Non-coding
  22534   22733       +   0.536 Non-coding
  22537   22736       +   0.536 Non-coding
  22540   22739       +   0.553 Non-coding
  22543   22742       +   0.478 Non-coding
  22546   22745       +   0.472 Non-coding
  22549   22748       +   0.580 Non-coding
  22552   22751       +   0.639 Non-coding
  22555   22754       +   0.639 Non-coding
  22558   22757       +   0.599 Non-coding
  22561   22760       +   0.645 Non-coding
  22564   22763       +   0.692 Non-coding
  22567   22766       +   0.616 Non-coding
  22570   22769       +   0.644 Non-coding
  22573   22772       +   0.698 Non-coding
  22576   22775       +   0.727 Non-coding
  22579   22778       +   0.821 No opinion
  22582   22781       +   0.821 No opinion
  22585   22784       +   0.853 No opinion
  22588   22787       +   0.851 No opinion
  22591   22790       +   0.767 No opinion
  22594   22793       +   0.816 No opinion
  22597   22796       +   0.816 No opinion
  22600   22799       +   0.816 No opinion
  22603   22802       +   0.816 No opinion
  22606   22805       +   0.870 No opinion
  22609   22808       +   0.868 No opinion
  22612   22811       +   0.895 No opinion
  22615   22814       +   0.928 No opinion
  22618   22817       +   0.880 No opinion
  22621   22820       +   0.776 No opinion
  22624   22823       +   0.750 No opinion
  22627   22826       +   0.751 No opinion
  22630   22829       +   0.754 No opinion
  22633   22832       +   0.671 Non-coding
  22636   22835       +   0.754 No opinion
  22639   22838       +   0.754 No opinion
  22642   22841       +   0.671 Non-coding
  22645   22844       +   0.683 Non-coding
  22648   22847       +   0.683 Non-coding
  22651   22850       +   0.597 Non-coding
  22654   22853       +   0.597 Non-coding
  22657   22856       +   0.597 Non-coding
  22660   22859       +   0.683 Non-coding
  22663   22862       +   0.708 Non-coding
  22666   22865       +   0.676 Non-coding
  22669   22868       +   0.676 Non-coding
  22672   22871       +   0.675 Non-coding
  22675   22874       +   0.708 Non-coding
  22678   22877       +   0.657 Non-coding
  22681   22880       +   0.733 Non-coding
  22684   22883       +   0.733 Non-coding
  22687   22886       +   0.756 No opinion
  22690   22889       +   0.697 Non-coding
  22693   22892       +   0.638 Non-coding
  22696   22895       +   0.697 Non-coding
  22699   22898       +   0.611 Non-coding
  22702   22901       +   0.730 Non-coding
  22705   22904       +   0.759 No opinion
  22708   22907       +   0.757 No opinion
  22711   22910       +   0.833 No opinion
  22714   22913       +   0.697 Non-coding
  22717   22916       +   0.757 No opinion
  22720   22919       +   0.740 Non-coding
  22723   22922       +   0.661 Non-coding
  22726   22925       +   0.574 Non-coding
  22729   22928       +   0.681 Non-coding
  22732   22931       +   0.761 No opinion
  22735   22934       +   0.761 No opinion
  22738   22937       +   0.760 No opinion
  22741   22940       +   0.741 No opinion
  22744   22943       +   0.760 No opinion
  22747   22946       +   0.753 No opinion
  22750   22949       +   0.799 No opinion
  22753   22952       +   0.802 No opinion
  22756   22955       +   0.769 No opinion
  22759   22958       +   0.769 No opinion
  22762   22961       +   0.746 No opinion
  22765   22964       +   0.629 Non-coding
  22768   22967       +   0.744 No opinion
  22771   22970       +   0.587 Non-coding
  22774   22973       +   0.608 Non-coding
  22777   22976       +   0.609 Non-coding
  22780   22979       +   0.630 Non-coding
  22783   22982       +   0.616 Non-coding
  22786   22985       +   0.542 Non-coding
  22789   22988       +   0.434 Non-coding
  22792   22991       +   0.434 Non-coding
  22795   22994       +   0.410 Non-coding
  22798   22997       +   0.434 Non-coding
  22801   23000       +   0.375 Non-coding
  22804   23003       +   0.380 Non-coding
  22807   23006       +   0.380 Non-coding
  22810   23009       +   0.386 Non-coding
  22813   23012       +   0.386 Non-coding
  22816   23015       +   0.394 Non-coding
  22819   23018       +   0.394 Non-coding
  22822   23021       +   0.391 Non-coding
  22825   23024       +   0.418 Non-coding
  22828   23027       +   0.446 Non-coding
  22831   23030       +   0.446 Non-coding
  22834   23033       +   0.446 Non-coding
  22837   23036       +   0.446 Non-coding
  22840   23039       +   0.508 Non-coding
  22843   23042       +   0.445 Non-coding
  22846   23045       +   0.511 Non-coding
  22849   23048       +   0.490 Non-coding
  22852   23051       +   0.463 Non-coding
  22855   23054       +   0.528 Non-coding
  22858   23057       +   0.528 Non-coding
  22861   23060       +   0.528 Non-coding
  22864   23063       +   0.544 Non-coding
  22867   23066       +   0.610 Non-coding
  22870   23069       +   0.636 Non-coding
  22873   23072       +   0.585 Non-coding
  22876   23075       +   0.590 Non-coding
  22879   23078       +   0.616 Non-coding
  22882   23081       +   0.567 Non-coding
  22885   23084       +   0.625 Non-coding
  22888   23087       +   0.590 Non-coding
  22891   23090       +   0.536 Non-coding
  22894   23093       +   0.536 Non-coding
  22897   23096       +   0.579 Non-coding
  22900   23099       +   0.529 Non-coding
  22903   23102       +   0.477 Non-coding
  22906   23105       +   0.472 Non-coding
  22909   23108       +   0.494 Non-coding
  22912   23111       +   0.529 Non-coding
  22915   23114       +   0.551 Non-coding
  22918   23117       +   0.547 Non-coding
  22921   23120       +   0.599 Non-coding
  22924   23123       +   0.633 Non-coding
  22927   23126       +   0.669 Non-coding
  22930   23129       +   0.632 Non-coding
  22933   23132       +   0.658 Non-coding
  22936   23135       +   0.625 Non-coding
  22939   23138       +   0.625 Non-coding
  22942   23141       +   0.684 Non-coding
  22945   23144       +   0.665 Non-coding
  22948   23147       +   0.724 Non-coding
  22951   23150       +   0.698 Non-coding
  22954   23153       +   0.698 Non-coding
  22957   23156       +   0.716 Non-coding
  22960   23159       +   0.703 Non-coding
  22963   23162       +   0.624 Non-coding
  22966   23165       +   0.608 Non-coding
  22969   23168       +   0.590 Non-coding
  22972   23171       +   0.588 Non-coding
  22975   23174       +   0.590 Non-coding
  22978   23177       +   0.616 Non-coding
  22981   23180       +   0.562 Non-coding
  22984   23183       +   0.562 Non-coding
  22987   23186       +   0.604 Non-coding
  22990   23189       +   0.598 Non-coding
  22993   23192       +   0.638 Non-coding
  22996   23195       +   0.777 No opinion
  22999   23198       +   0.744 No opinion
  23002   23201       +   0.738 Non-coding
  23005   23204       +   0.671 Non-coding
  23008   23207       +   0.665 Non-coding
  23011   23210       +   0.732 Non-coding
  23014   23213       +   0.703 Non-coding
  23017   23216       +   0.761 No opinion
  23020   23219       +   0.755 No opinion
  23023   23222       +   0.670 Non-coding
  23026   23225       +   0.710 Non-coding
  23029   23228       +   0.742 No opinion
  23032   23231       +   0.710 Non-coding
  23035   23234       +   0.842 No opinion
  23038   23237       +   0.831 No opinion
  23041   23240       +   0.896 No opinion
  23044   23243       +   0.926 No opinion
  23047   23246       +   0.804 No opinion
  23050   23249       +   0.852 No opinion
  23053   23252       +   0.775 No opinion
  23056   23255       +   0.775 No opinion
  23059   23258       +   0.735 Non-coding
  23062   23261       +   0.768 No opinion
  23065   23264       +   0.805 No opinion
  23068   23267       +   0.743 No opinion
  23071   23270       +   0.796 No opinion
  23074   23273       +   0.689 Non-coding
  23077   23276       +   0.699 Non-coding
  23080   23279       +   0.689 Non-coding
  23083   23282       +   0.742 No opinion
  23086   23285       +   0.696 Non-coding
  23089   23288       +   0.625 Non-coding
  23092   23291       +   0.633 Non-coding
  23095   23294       +   0.612 Non-coding
  23098   23297       +   0.562 Non-coding
  23101   23300       +   0.604 Non-coding
  23104   23303       +   0.604 Non-coding
  23107   23306       +   0.600 Non-coding
  23110   23309       +   0.669 Non-coding
  23113   23312       +   0.551 Non-coding
  23116   23315       +   0.540 Non-coding
  23119   23318       +   0.540 Non-coding
  23122   23321       +   0.550 Non-coding
  23125   23324       +   0.482 Non-coding
  23128   23327       +   0.488 Non-coding
  23131   23330       +   0.488 Non-coding
  23134   23333       +   0.459 Non-coding
  23137   23336       +   0.446 Non-coding
  23140   23339       +   0.493 Non-coding
  23143   23342       +   0.607 Non-coding
  23146   23345       +   0.539 Non-coding
  23149   23348       +   0.560 Non-coding
  23152   23351       +   0.565 Non-coding
  23155   23354       +   0.533 Non-coding
  23158   23357       +   0.484 Non-coding
  23161   23360       +   0.484 Non-coding
  23164   23363       +   0.511 Non-coding
  23167   23366       +   0.458 Non-coding
  23170   23369       +   0.454 Non-coding
  23173   23372       +   0.475 Non-coding
  23176   23375       +   0.456 Non-coding
  23179   23378       +   0.491 Non-coding
  23182   23381       +   0.478 Non-coding
  23185   23384       +   0.466 Non-coding
  23188   23387       +   0.433 Non-coding
  23191   23390       +   0.466 Non-coding
  23194   23393       +   0.429 Non-coding
  23197   23396       +   0.450 Non-coding
  23200   23399       +   0.477 Non-coding
  23203   23402       +   0.458 Non-coding
  23206   23405       +   0.428 Non-coding
  23209   23408       +   0.446 Non-coding
  23212   23411       +   0.439 Non-coding
  23215   23414       +   0.406 Non-coding
  23218   23417       +   0.410 Non-coding
  23221   23420       +   0.374 Non-coding
  23224   23423       +   0.406 Non-coding
  23227   23426       +   0.406 Non-coding
  23230   23429       +   0.410 Non-coding
  23233   23432       +   0.439 Non-coding
  23236   23435       +   0.475 Non-coding
  23239   23438       +   0.493 Non-coding
  23242   23441       +   0.474 Non-coding
  23245   23444       +   0.469 Non-coding
  23248   23447       +   0.506 Non-coding
  23251   23450       +   0.614 Non-coding
  23254   23453       +   0.622 Non-coding
  23257   23456       +   0.623 Non-coding
  23260   23459       +   0.703 Non-coding
  23263   23462       +   0.572 Non-coding
  23266   23465       +   0.680 Non-coding
  23269   23468       +   0.680 Non-coding
  23272   23471       +   0.729 Non-coding
  23275   23474       +   0.625 Non-coding
  23278   23477       +   0.653 Non-coding
  23281   23480       +   0.653 Non-coding
  23284   23483       +   0.611 Non-coding
  23287   23486       +   0.472 Non-coding
  23290   23489       +   0.424 Non-coding
  23293   23492       +   0.554 Non-coding
  23296   23495       +   0.523 Non-coding
  23299   23498       +   0.667 Non-coding
  23302   23501       +   0.568 Non-coding
  23305   23504       +   0.595 Non-coding
  23308   23507       +   0.640 Non-coding
  23311   23510       +   0.672 Non-coding
  23314   23513       +   0.613 Non-coding
  23317   23516       +   0.580 Non-coding
  23320   23519       +   0.614 Non-coding
  23323   23522       +   0.608 Non-coding
  23326   23525       +   0.534 Non-coding
  23329   23528       +   0.569 Non-coding
  23332   23531       +   0.571 Non-coding
  23335   23534       +   0.571 Non-coding
  23338   23537       +   0.594 Non-coding
  23341   23540       +   0.522 Non-coding
  23344   23543       +   0.476 Non-coding
  23347   23546       +   0.507 Non-coding
  23350   23549       +   0.502 Non-coding
  23353   23552       +   0.535 Non-coding
  23356   23555       +   0.535 Non-coding
  23359   23558       +   0.514 Non-coding
  23362   23561       +   0.486 Non-coding
  23365   23564       +   0.506 Non-coding
  23368   23567       +   0.527 Non-coding
  23371   23570       +   0.563 Non-coding
  23374   23573       +   0.586 Non-coding
  23377   23576       +   0.565 Non-coding
  23380   23579       +   0.567 Non-coding
  23383   23582       +   0.616 Non-coding
  23386   23585       +   0.545 Non-coding
  23389   23588       +   0.563 Non-coding
  23392   23591       +   0.563 Non-coding
  23395   23594       +   0.609 Non-coding
  23398   23597       +   0.615 Non-coding
  23401   23600       +   0.578 Non-coding
  23404   23603       +   0.546 Non-coding
  23407   23606       +   0.565 Non-coding
  23410   23609       +   0.560 Non-coding
  23413   23612       +   0.602 Non-coding
  23416   23615       +   0.591 Non-coding
  23419   23618       +   0.532 Non-coding
  23422   23621       +   0.681 Non-coding
  23425   23624       +   0.703 Non-coding
  23428   23627       +   0.681 Non-coding
  23431   23630       +   0.670 Non-coding
  23434   23633       +   0.758 No opinion
  23437   23636       +   0.905 No opinion
  23440   23639       +   0.925 No opinion
  23443   23642       +   0.925 No opinion
  23446   23645       +   0.875 No opinion
  23449   23648       +   0.954 Coding    
  23452   23651       +   0.936 No opinion
  23455   23654       +   0.936 No opinion
  23458   23657       +   0.965 Coding    
  23461   23660       +   0.925 No opinion
  23464   23663       +   0.872 No opinion
  23467   23666       +   0.933 No opinion
  23470   23669       +   0.953 Coding    
  23473   23672       +   1.013 Coding    
  23476   23675       +   0.950 Coding    
  23479   23678       +   0.903 No opinion
  23482   23681       +   0.923 No opinion
  23485   23684       +   0.907 No opinion
  23488   23687       +   0.843 No opinion
  23491   23690       +   0.792 No opinion
  23494   23693       +   0.801 No opinion
  23497   23696       +   0.739 Non-coding
  23500   23699       +   0.836 No opinion
  23503   23702       +   0.796 No opinion
  23506   23705       +   0.739 Non-coding
  23509   23708       +   0.815 No opinion
  23512   23711       +   0.848 No opinion
  23515   23714       +   0.847 No opinion
  23518   23717       +   0.841 No opinion
  23521   23720       +   0.808 No opinion
  23524   23723       +   0.833 No opinion
  23527   23726       +   0.890 No opinion
  23530   23729       +   0.841 No opinion
  23533   23732       +   0.781 No opinion
  23536   23735       +   0.791 No opinion
  23539   23738       +   0.741 No opinion
  23542   23741       +   0.704 Non-coding
  23545   23744       +   0.761 No opinion
  23548   23747       +   0.793 No opinion
